buttonsMain_Start;Старт;Start
buttonsMain_Options;Настройки;Options
buttonsMain_Exit;Выход;Exit
buttonsStart_Start;Продолжить;Continue
buttonsStart_ResetLevelsButton;Начать Заново;Start again
buttonsStart_BackButton;Назад;Back
settingsPanel_ScoreBackgroundImage;Пройдено 1;Passed 1
settingsPanel_MenuButton;В меню;In the menu
resultPanel_ResultText;Победа!;Win!
resultPanel_NextLevelButton;Следующий уровень;Next level
resultPanel_RestartLevelButton;Заново;Again
endLevelPanel_ResultText;Уровни кончились. Победа!;The levels are over. Victory!
endLevelPanel_EndLevelButton;Выход;Exit
